DisplayDomain,HitCount,SessionCount
piweba3y.prodigy.com,6741,527
piweba4y.prodigy.com,4968,506
piweba1y.prodigy.com,4691,471
www-d1.proxy.aol.com,3264,588
www-a2.proxy.aol.com,3094,586
www-d4.proxy.aol.com,2989,545
www-b5.proxy.aol.com,2979,536
www-b3.proxy.aol.com,2901,550
www-b2.proxy.aol.com,2886,569
163.206.89.4,2869,245
www-d2.proxy.aol.com,2826,555
www-d3.proxy.aol.com,2787,562
edams.ksc.nasa.gov,2779,445
www-b4.proxy.aol.com,2761,559
www-a1.proxy.aol.com,2747,562
news.ti.com,2727,361
www-c2.proxy.aol.com,2667,491
piweba2y.prodigy.com,2476,367
www-c5.proxy.aol.com,2459,439
alyssa.prodigy.com,2440,151
