Extensión,Número de Repeticiones
gif,1986781
html,750366
,308430
xbm,110249
jpg,79638
pl,65304
txt,51483
mpg,44657
htm,22623
jpeg,12170
wav,6686
pl?imax,1116
pl?tisp,702
gov,602
pl?51-l,503
pl?sarex-ii,474
pl?sts-69,299
bmp,224
pl?sts-71,200
pdf,196
pl?sts-70,173
pl?mir-rendezvous,170
map,169
pl?winvn,160
pl?hercules,155
txt~,155
pl?challenger,154
pl?sts-73,149
bak,148
pl?gas,142
eps,128
pl?sts-74,128
pl?hst,119
perl,115
pl?maps,110
pl?icbc,100
pl?bric,99
com,95
pl?apollo+13,91
ksc,83
pl?apollo,78
pl?epics,76
bps,73
pl?sts-72,69
pl?edft-02,66
pl?dod,65
pl?oare,57
hmtl,53
pl?cgba,53
pl?galileo,53
pl?msx,53
pl?capl,52
pl?images,52
pl?mast,51
pl?intelsat-vi-rescue,49
pl?shuttle,48
pl?msx-02,47
pl?schedule,46
pl?msx-01,46
pl?sts-75,45
pl?cmix-04,45
pl?edo,44
pl?hubble,44
zip,43
pl?employment,42
htmll,40
pl?sarex,39
pl?sts-78,39
pl?amos,38
pl?tdrs-b,38
pl?dfi,36
pl?launch,36
pl?gro,36
pl?mir,36
pl?iml-2,35
pl?crista-spas,34
pl?pictures,34
pl?launch+schedule,33
pl?image,33
winvn,33
xb,32
pl?bds,32
htm1,31
pl?landing,31
pl?moon,31
92,30
pl?,30
htlm,30
pl?oms,29
art,29
pl?ssip,28
pl?spartan-204,28
pl?edft,27
pl?spacelab-j,26
pl?weather,26
pl?launch+dates,25
pl?acip,25
pl?cpcg,25
pl?pare,25
pl?cuseeme,23
93,22
90,22
91,22
pl?mahrsi,21
pl?jobs,21
pl?mpeg,21
pl?jupiter,21
pl?sts-77,20
pl?photo,20
pl?spacelab-1,20
pl?photos,20
pl?mars,20
pl?romps,19
pl?sts-76,19
pl?windex,19
pl?champ,19
htnl,18
pl?keplerian,18
txt%7e,18
pl?software,18
pl?eureca,17
pl?personnel,17
pl?chromex,17
shtml,17
pl?spacelab,17
pl?orbit,17
pl?sts-1,16
pl?columbia,16
pl?sts-63,16
doc,16
pl?sams,15
pl?safer,15
bak1,15
pl?launches,15
pl?cream,15
pl?earth,15
htmi,15
pl?tracking,15
gi,14
pl?cmix,14
pl?astro-1,14
pl?movies,14
pl?tours,14
gov%3a8501&caseflag=on&wordflag=on&errorflag=0&opaqueflag=on&descflag=on&verbose=on&maxresultflag=50,14
pl?video,14
pl?uars,14
pl?asem,13
pl?tss-1,13
pl?space+station,13
pl?dsp,13
pl?manifest,13
pl?space+shuttle,13
pl?ssce,13
"gif""",13
edu,13
pl?astronaut,13
pl?space+camp,12
pl?astronauts,12
pl?tv,12
pl?saturn,12
pl?discovery,12
pl?gif,12
pl?spacelab-d2,12
pl?allen,12
pl?voyager,12
pl?explosion,12
pl?atlantis,11
good,11
pl?planets,11
pl?picture,11
pl?saturn+v,11
pl?zymark,11
pl?cu-seeme,11
pl?bremsat,11
out,11
pl?srl-1,11
pl?palapa-b2,11
pl?usml-01,11
pl?apollo+11,11
pl?sam,10
pl?glo-2,10
pl?spartan,10
html1,10
pl?ufo,10
pl?movie,10
new,10
pl?usmp-2,10
pl?lidar,10
pl?rme-iii,10
pl?spas-01,10
ht,10
pl?eclss,10
pl?nasa+tv,10
pl?orbital+elements,10
exe,10
pl?avi,10
bad,9
pl?sts-65,9
pl?elements,9
pl?disaster,9
pl?magellan,9
pl?challanger,9
pl?lite-1,9
pl?space+walk,9
pl?sts-61,9
pl?eva,9
pl?ulysses,9
pl?canex-2,9
class,9
pl?hurricane,9
pl?spacelab-3,9
pl?o-ring,9
pl?rcs,8
pl?map,8
tx,8
pl?stl,8
pl?quicktime,8
pl?satcom-ku2,8
pl?apollo+and+13,8
pl?photographs,8
*,8
lists,8
pl?cse,8
pl?oderacs,8
pl?challenger+explosion,8
pl?ntv,8
pl?tle,8
pl?apu+and+anomaly,8
pl?status,8
news,8
pl?appolo,8
pl?challenger+disaster,7
countdown,7
pl?woodpecker,7
pl?launch+pass,7
pl?crista,7
pl?sts-34,7
hml,7
pl?apollo-13,7
pl?armstrong,7
pl?endeavor,7
pl?television,7
pl?training,7
pl?keps,7
pl?rme,7
pl?idge,7
pl?sts-67,7
pl?hubble+telescope,7
pl?lageos-ii,7
pl?jpeg,7
