SessionID,avg_page_view_time_seconds,num_page_views_in_session
whq.whq.usbm.gov_1,0.0,1
vw9.thetech.org_2,0.0,1
204.155.145.51_1,0.0,1
intgate.raleigh.ibm.com_68,0.0,1
sho-vss-eng1.atsc.allied.com_7,0.0,1
pczeo.univ-lille1.fr_1,0.0,1
imac15.infj.ulst.ac.uk_1,0.0,1
chopin.udel.edu_3,0.0,1
128.159.112.22_14,0.0,1
asimov_20,0.0,1
wolson-mac.sctr.ida.org_1,0.0,1
163.206.11.35_20,0.0,1
labbey.mindspring.com_7,0.0,1
stargate.tamu.edu_1,0.0,1
www-c3.proxy.aol.com_147,0.0,1
nt176.imonics.com_2,0.0,1
s-cwis.unomaha.edu_1,0.0,1
a23.148.148.204.interaccess.com_1,0.0,1
iii2.iii.net_1,0.0,1
128.217.62.38_7,0.0,1
163.206.137.21_111,0.0,1
163.206.137.12_11,0.0,1
163.206.137.12_9,0.0,1
pcmol04.nlr.nl_1,0.0,1
163.206.10.102_2,0.0,1
cindy.yamato.ibm.co.jp_59,0.0,1
ix-sf5-25.ix.netcom.com_1,0.0,1
163.206.137.21_7,0.0,2
147.74.110.62_13,0.0,1
147.74.110.62_18,0.0,1
147.74.110.62_4,0.0,1
163.206.137.21_80,0.0,1
www-a1.proxy.aol.com_370,0.0,1
nubs40.ccs.itd.umich.edu_2,0.0,1
www-d4.proxy.aol.com_373,0.0,1
mac-2586.d-building.uh.edu_12,0.0,1
www-d4.proxy.aol.com_298,0.0,2
ka146023.ksc.nasa.gov_13,0.0,1
detroit.freenet.org_3,0.0,1
penguin.ksc.nasa.gov_5,0.0,1
147.74.110.61_43,0.0,1
147.74.110.61_4,0.0,1
147.74.110.61_40,0.0,1
147.74.110.61_41,0.0,1
147.74.110.61_47,0.0,1
147.74.110.61_46,0.0,1
ns.rmc.com_43,0.0,2
mango.ernet.rl.af.mil_2,0.0,1
www-c4.proxy.aol.com_194,0.0,1
128.217.62.224_41,0.0,1
128.217.62.224_42,0.0,1
128.217.62.224_13,0.0,1
128.217.62.224_21,0.0,1
161.40.58.45_9,0.0,1
147.74.110.61_10,0.0,1
147.74.110.61_12,0.0,1
sspp-cm-3.gsfc.nasa.gov_2,0.0,1
ssmtpva1.slma.com_3,0.0,1
ymiseja.eenet.ee_3,0.0,1
acs5.acs.ucalgary.ca_4,0.0,1
bkline.sso.az.honeywell.com_3,0.0,1
hobbs.ist.ucf.edu_1,0.0,1
147.74.110.61_31,0.0,1
147.74.110.61_32,0.0,1
redbeard.acs.appstate.edu_1,0.0,1
147.74.110.61_34,0.0,1
147.74.110.61_35,0.0,1
147.74.110.61_36,0.0,1
www-b2.proxy.aol.com_461,0.0,1
igcmac17.epfl.ch_1,0.0,1
pcdis.rrzn.uni-hannover.de_11,0.0,1
afep.yorku.ca_1,0.0,1
cherry1.biol.vt.edu_1,0.0,1
acs2.acs.ucalgary.ca_2,0.0,1
dlnpc.pe.ornl.gov_1,0.0,1
barney.poly.edu_4,0.0,1
pc_gustavo.ecsanet.net_1,0.0,1
www-c2.proxy.aol.com_292,0.0,1
150.176.41.17_2,0.0,1
128.217.61.8_2,0.0,1
198.60.146.157_3,0.0,1
tide01.microsoft.com_9,0.0,1
liblrd-class3.tamu.edu_1,0.0,1
pm00_10.support.nl_1,0.0,1
derec_39,0.0,1
ryp93.ryp.umu.se_1,0.0,1
160.205.42.135_5,0.0,1
client-71-111.online.apple.com_1,0.0,1
acs.bu.edu_8,0.0,1
client-71-190.online.apple.com_1,0.0,1
